"name","price","image__001","image__002","image__003","image__004","image__005","image__006","description","description_detail__001","description_detail__002"
"Laptop ACER Aspire 3 A315-58-54M5 NX.ADDSV.00M (15.6"" Full HD/Intel Core i5-1135G7/8GB/512GB SSD/Onboard/Windows 11 Home/1.7kg)","13.990.000₫","https://lh3.googleusercontent.com/_SApryKFms-BYshoOG9JRUG14-JLrnShoUSZ7_4_JqcYW5YaL2eRJ0cw4AXNjOmHDi1q-f-dVFH3BwyiCMxg-7-mAsKPGA-LcA=rw","https://lh3.googleusercontent.com/UjItPK0m1nmYk_zpkPRX_ggyaFJpoLicy78a44cex1h6G4xgyH86cfM1fzzTi6osFdf-_KIh_nW8SJs_7iupGxZvsXzs9OVr=rw","https://lh3.googleusercontent.com/bvX4yeqE0GIvs2a5KThhi2uBVgdTcotBFbbMkCDZnrb_ohhUf__IS1FRCrRftwYPYoX0dRPv5Lt9xUWJjEdT4YTJ648kabHL=rw","https://lh3.googleusercontent.com/TMzf4NWHcqy1EtU851La6R83YP5i_2bQZoz3mmqplG9a-tPJqY_pHL8oeqkTuf0x00ipw7XN0r_YhQm-fB3HMXwk5oEEuUvt=rw","https://lh3.googleusercontent.com/DMFtL22zhD3hvuunhr9mJROV07cjlqYYm_F1yLKZqbmMvS-2VtNs97-VXFGYAANJ-h6-7-oIQFPpEu3cGEBo0m4JyYYn2X4=rw","https://lh3.googleusercontent.com/oSWDmUGzrKrzGwR_N2auPrFqR3dtS8BC1mrp5tcWUmMTfGzuRu-ZWuo3ORv6uwmHP91CBMexhzHjeQec2O3OlIAwzCZIXyI=rw","- CPU: Intel Core i5-1135G7\n- Màn hình: 15.6"" TFT (1920 x 1080)\n- RAM: 1 x 4GB, 1 x 4GB Onboard DDR4 2400MHz\n- Đồ họa: Onboard Intel Iris Xe Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 2 cell 36 Wh Pin liền\n- Khối lượng: 1.7kg","Thương hiệu","ACER"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Aspire 3"
"","","","","","","","","","Part-number","NX.ADDSV.00M"
"","","","","","","","","","Màu sắc","Bạc"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i5-1135G7 ( 2.4 GHz - 4.2 GHz / 8MB / 4 nhân, 8 luồng )"
"","","","","","","","","","Chip đồ họa"," Onboard  Intel Iris Xe Graphics "
"","","","","","","","","","RAM"," 1 x 4GB, 1 x 4GB Onboard  DDR4  2400MHz ( 1 Khe cắm / Hỗ trợ tối đa 12GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  TFT  không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối",", 2 x USB 3.2 , 1 x USB 2.0 , 1 x 3.5 mm "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ac , Bluetooth 5.0 "
"","","","","","","","","","Bàn phím"," thường , có phím số , không đèn "
"","","","","","","","","","Hệ điều hành"," Windows 11 Home "
"","","","","","","","","","Kích thước"," 36.34  x 23.84 x 1.99 cm "
"","","","","","","","","","Pin"," 2 cell  36 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 1.7 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"Laptop ACER Nitro 5 Eagle AN515-57-54MV NH.QENSV.003 (15.6"" Full HD/ 144Hz/Intel Core i5-11400H/8GB/512GB SSD/RTX 3050/Windows 11/2.2kg)","21.990.000₫","https://lh3.googleusercontent.com/c7VuA4P8sHHJCilfzRVp50AQmgZEkJOyOCuh4vvkcT9jxfqTzZVd2gepUFSSqzXVSEljnYlAN319sJD-H1IztNcxPT3UypA=rw","https://lh3.googleusercontent.com/VpJgldxtdddsmBwMTP0iqPG4-W0WAKCTFE3iYe7XUaXUhvFvePH514GCSoH2TDLHiMOYxKSzRh7hCsmdM1429r-tk_8haRUr3Q=rw","https://lh3.googleusercontent.com/kpxJEY3p1mLKsaiQdUuL8gK_JPyrawmy_oxRXlU9b_p9TrrPo3hQOBhlXXutOyDABYTmxgnuuDkutPg0VgbUls42ctkH5WXY=rw","https://lh3.googleusercontent.com/_8W1EMpxpcb_lDJ-nhGMxsqP-ja6GW8iZHwREklHxrkkHcZxEKJTEyaRq817_McgSwXR0e0dQpvl2DxrjumLjU8-3L6u4xpI=rw","https://lh3.googleusercontent.com/eOT1uNpQy6j-EBoWZTZfelVhvIppYxHOUv27da3RWHyZAj89Wtf1p-qxmVNZnrnkyE8-k9mXQB_r3f19Z1dA5Oy2fgM3lOws=rw","https://lh3.googleusercontent.com/DY4nUu6snSsCeNmr0I2blgMRo_nY3FMgy2x1ZY8SNgTsPKI02qh5ZMU99qhkZnxS0lZds6-3o4GekAB806VNLFPQfKsZscML=rw","- CPU: Intel Core i5-11400H\n- Màn hình: 15.6"" IPS (1920 x 1080),144Hz\n- RAM: 1 x 8GB DDR4 3200MHz\n- Đồ họa: RTX 3050 4GB GDDR6 / Intel UHD Graphics\n- Lưu trữ: 512GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11\n- Pin: 4 cell 57 Wh Pin liền\n- Khối lượng: 2.2kg","Thương hiệu","ACER"
"","","","","","","","","","Bảo hành","12"
"","","","","","","","","","Series laptop","Nitro 5"
"","","","","","","","","","Part-number","NH.QENSV.003"
"","","","","","","","","","Màu sắc","Đen"
"","","","","","","","","","Nhu cầu","Gaming, Đồ họa - Kỹ thuật"
"","","","","","","","","","Thế hệ CPU"," Core i5 , Intel Core thế hệ thứ 11 "
"","","","","","","","","","CPU"," Intel Core i5-11400H ( 2.7 GHz - 4.5 GHz / 12MB / 6 nhân, 12 luồng )"
"","","","","","","","","","Chip đồ họa"," RTX 3050  4GB  GDDR6 / Intel UHD Graphics "
"","","","","","","","","","RAM"," 1 x 8GB  DDR4  3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB )"
"","","","","","","","","","Màn hình"," 15.6"" ( 1920 x 1080 ) Full HD  IPS  144Hz , không cảm ứng , HD webcam "
"","","","","","","","","","Lưu trữ"," 512GB SSD M.2 NVMe /"
"","","","","","","","","","Số cổng lưu trữ tối đa"," 1 x 2.5"" SATA , 2 x M.2 NVMe "
"","","","","","","","","","Kiểu khe M.2 hỗ trợ"," M.2 NVMe "
"","","","","","","","","","Cổng xuất hình"," 1 x HDMI "
"","","","","","","","","","Cổng kết nối"," 1 x USB Type C / DisplayPort , 3 x USB 3.2 , 1 x 3.5 mm , LAN 1 Gb/s "
"","","","","","","","","","Kết nối không dây"," WiFi 802.11ax (Wifi 6) , Bluetooth 5.1 "
"","","","","","","","","","Bàn phím"," thường , có phím số , RGB "
"","","","","","","","","","Hệ điều hành"," Windows 11 "
"","","","","","","","","","Kích thước"," 36.34  x 25.5  x 2.39 cm "
"","","","","","","","","","Pin"," 4 cell  57 Wh , Pin liền "
"","","","","","","","","","Khối lượng"," 2.2 kg"
"","","","","","","","","","Đèn LED trên máy"," không đèn "
"Laptop Lenovo IdeaPad 5 15ITL05 82FG01H8VN (15.6"" Intel Core i5-1135G7/8GB/256GB SSD/Onboard/Windows 11 Home/1.7kg)","13.590.000₫","https://lh3.googleusercontent.com/UL9bIySZatUyckrYhzv4NV7v9aiOeOUUM5nbkvF_M6jjDF_4ctEcEx2--m8bTZWP74ESzIp6b8GMLMlcM1YzdPw1yM07K0o=rw","https://lh3.googleusercontent.com/pj_kfivd2UziP73V1ENDX0p1F1IhmBL1IritqJciuyHja3lV5J2FUTJUkNxuq7YgJGXhdgjy-Dc5Dpetbf4ZbzPfD8thwTw=rw","https://lh3.googleusercontent.com/mqYiWLGxYSB3xAQm30hNVwC4xSivdACGmvA2-jt2DpcTSASYt6ZS77LEIPvc0umOf4_FTNtjk_aD2oyJV18HQznw5P_HYXaATQ=rw","https://lh3.googleusercontent.com/ItGJvpevoQUkoMg85ctFGTFu1YjI23VBHFeVXaOxKtXNpWDqR_p5DvAsGDWm_-mwct-zx24AgWLILEMxPw9KxElWbmYvfI2a=rw","https://lh3.googleusercontent.com/JGmlpSmwO7_bFddYgK470U0T3637AqPsIMU0pqXVFniFgiR04GUQSChj-jHjNSxnT8ACIQ3cBymvHpxSkJOIxsYAWVX9iKau=rw","https://lh3.googleusercontent.com/h9S3GCHDl7ftHhbXzF5dIqhDLqkv-uv-ThAywvY5V9boRg0wBgJJMn_2QIW_5HeXq6C63q3aHR6CXWjO7TOGNG8lStmF783l=rw","- CPU: Intel Core i5-1135G7\n- Màn hình: 15.6"" IPS (1920 x 1080)\n- RAM: 8GB Onboard DDR4 3200MHz\n- Đồ họa: Onboard Intel Iris Xe Graphics\n- Lưu trữ: 256GB SSD M.2 NVMe /\n- Hệ điều hành: Windows 11 Home\n- Pin: 3 cell Pin liền\n- Khối lượng: 1.7kg","Thương hiệu","Lenovo"
"","","","","","","","","","Bảo hành","24"
"","","","","","","","","","Series laptop","Ideapad"
"","","","","","","","","","Part-number","82FG01H8VN"
"","","","","","","","","","Màu sắc","Xám"
"","","","","","","","","","Nhu cầu","Văn phòng, Học sinh - Sinh viên, Doanh nhân"
